,Links,Title,Price,Color
0,,,,
1,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a7-6571823/,2021 Audi A7 Sportback Technik,"$103,872",Vesuvius Grey
2,https://www.carpages.ca/new-cars/manitoba/brandon/2021-ford-f-250-6570869/,2021 Ford F-250 Super Duty SRW XLT,"$62,779",Agate Black Metallic
3,https://www.carpages.ca/new-cars/manitoba/brandon/2021-ford-explorer-6570863/,2021 Ford Explorer LIMITED,"$59,049",Oxford White
4,https://www.carpages.ca/new-cars/ontario/sudbury/2021-mercedes-benz-gls-6568718/,2021 Mercedes-Benz GLS GLS 450,"$119,188",Obsidian Black Met
5,https://www.carpages.ca/used-cars/quebec/montreal/2017-bmw-i3-6568322/,2017 BMW i3 Avec REX/Nav/Mags,"$27,995",Noir
6,https://www.carpages.ca/new-cars/ontario/kanata/2021-chevrolet-bolt-6567566/,2021 Chevrolet Bolt EV LT,"$48,882",
7,https://www.carpages.ca/new-cars/ontario/simcoe/2021-hyundai-santa-fe-6566876/,2021 Hyundai Santa Fe Hybrid Luxury AWD,"$46,973",Space Black Pearl
8,https://www.carpages.ca/new-cars/ontario/simcoe/2021-hyundai-santa-fe-6566873/,2021 Hyundai Santa Fe Hybrid Preferred AWD w/Trend Package,"$44,573",Lagoon Blue Mica
9,https://www.carpages.ca/new-cars/ontario/brantford/2021-hyundai-santa-fe-6566846/,2021 Hyundai Santa Fe Hybrid Preferred AWD w/Trend Package,"$44,087",Cristal White(ww2-nnb)-black
10,https://www.carpages.ca/new-cars/ontario/brantford/2021-hyundai-santa-fe-6566843/,2021 Hyundai Santa Fe Hybrid Luxury AWD,"$46,687",Space Black(nka-sst)-beige
11,https://www.carpages.ca/new-cars/ontario/brantford/2021-hyundai-santa-fe-6566840/,2021 Hyundai Santa Fe Hybrid Luxury AWD,"$46,687",Bleu Lagon(ue3-sst)-beige
12,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-toyota-venza-6566708/,2021 Toyota Venza XLE HYBRID,"$47,881",
13,https://www.carpages.ca/used-cars/ontario/scarborough/2018-kia-soul-ev-6566105/,2018 Kia Soul EV EV Luxury,"$21,990",Grey
14,https://www.carpages.ca/new-cars/ontario/brantford/2021-ford-escape-6566024/,2021 Ford Escape Titanium Hybrid,"$43,899",Black
15,https://www.carpages.ca/new-cars/british-columbia/vancouver/2020-kia-niro-6565598/,2020 Kia NIRO EV SX Touring,"$56,390",Aurora Black(ABP)
16,https://www.carpages.ca/new-cars/british-columbia/vancouver/2021-kia-soul-ev-6565589/,2021 Kia Soul EV Limited,"$53,890",SNOW WHITE PEARL(SWP)
17,https://www.carpages.ca/new-cars/british-columbia/vancouver/2021-kia-soul-ev-6565577/,2021 Kia Soul EV Limited,"$53,890",SNOW WHITE PEARL(SWP)
18,https://www.carpages.ca/new-cars/british-columbia/vancouver/2021-kia-soul-ev-6565565/,2021 Kia Soul EV Limited,"$53,890",ONYX(9H)
19,https://www.carpages.ca/used-cars/ontario/oakville/2019-tesla-model-3-6565268/,2019 Tesla Model 3 STANDARD RANGE PLUS,"$47,995",Black
20,https://www.carpages.ca/new-cars/ontario/mississauga/2021-hyundai-santa-fe-6564770/,2021 Hyundai Santa Fe HYBRID Luxury,"$46,499",Typhoon Silver
21,https://www.carpages.ca/new-cars/ontario/mississauga/2021-hyundai-santa-fe-6564761/,2021 Hyundai Santa Fe Hybrid Preferred,"$44,099",Typhoon Silver
22,https://www.carpages.ca/new-cars/ontario/mississauga/2021-hyundai-santa-fe-6564758/,2021 Hyundai Santa Fe HYBRID Luxury,"$46,499",Magnetic Force
23,https://www.carpages.ca/new-cars/ontario/mississauga/2021-hyundai-santa-fe-6564752/,2021 Hyundai Santa Fe HYBRID Luxury,"$46,499",LAGOON BLUE
24,https://www.carpages.ca/new-cars/ontario/mississauga/2021-hyundai-santa-fe-6564746/,2021 Hyundai Santa Fe HYBRID Luxury,"$46,499",SPACE BLACK
25,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6563831/,2021 Audi Q5 Technik,"$69,607",Mythos Black Metallic
