,Link,Name,Subtitle,Color,Price,Sale Price
0,,,,,,
1,https://www.nike.com/t/react-infinity-run-flyknit-mens-running-shoe-QbwPss/CD4371-012,Nike React Infinity Run Flyknit,Men's Running Shoe,6 Colors,$160,$97.97
2,https://www.nike.com/t/react-infinity-run-flyknit-premium-womens-running-shoe-c54NMG/CU0430-002,Nike React Infinity Run Flyknit Premium,Women's Running Shoe,9 Colors,$160,$136.97
3,https://www.nike.com/t/sportswear-synthetic-fill-womens-jacket-Hlq7Ww/CU5831-010,Nike Sportswear Synthetic-Fill,Women's Jacket,2 Colors,$200,$87.97
4,https://www.nike.com/t/sportswear-big-kids-down-jacket-6c0RPB/CU9154-013,Nike Sportswear,Big Kids' Down Jacket,4 Colors,$150,$53.97
5,https://www.nike.com/t/sportswear-big-kids-synthetic-fill-jacket-m4tLBC/CU9157-011,Nike Sportswear,Big Kids' Synthetic-Fill Jacket,3 Colors,$100,$44.97
6,https://www.nike.com/t/sportswear-favorites-big-kids-girls-high-waisted-leggings-9KFtFQ/CU8248-092,Nike Sportswear Favorites,Big Kids' (Girls') High-Waisted Leggings,3 Colors,$30,$25.97
7,https://www.nike.com/t/sportswear-essential-womens-funnel-neck-fleece-pullover-hoodie-rclCxC/BV4116-564,Nike Sportswear Essential,Women's Funnel-Neck Fleece Pullover Hoodie,5 Colors,$60,$37.97
8,https://www.nike.com/t/one-womens-mid-rise-leggings-LZcKRd/AJ8827-010,Nike One,Women's Mid-Rise Leggings,6 Colors,$55,$40.97
9,https://www.nike.com/t/space-hippie-04-mens-shoe-gGWDLk/CZ6398-001,Nike Space Hippie 04,Men's Shoe,1 Color,$130,$72.97
10,https://www.nike.com/t/air-vapormax-2020-fk-mens-shoe-kn9vwZ/CJ6740-003,Nike Air VaporMax 2020 FK,Men's Shoe,5 Colors,$220,$164.97
11,https://www.nike.com/t/pegasus-trail-2-gore-tex-womens-trail-running-shoe-lhj8Xd/CU2018-200,Nike Pegasus Trail 2 GORE-TEX,Women's Trail Running Shoe,1 Color,$160,$136.97
12,https://www.nike.com/t/blazer-mid-77-mens-shoe-Msjg5R/CW5838-022,Nike Blazer Mid '77,Men's Shoe,1 Color,$110,$89.97
13,https://www.nike.com/t/air-force-1-crater-mens-shoe-hcd5fv/CZ1524-100,Nike Air Force 1 Crater,Men's Shoe,1 Color,$110,$93.97
14,https://www.nike.com/t/killshot-2-leather-mens-shoe-zrq1wk/432997-128,Nike Killshot 2 Leather,Men's Shoe,2 Colors,$90,$55.97
15,https://www.nike.com/t/sportswear-down-fill-windrunner-mens-jacket-l5NBG7/CU4404-010,Nike Sportswear Down-Fill Windrunner,Men's Jacket,3 Colors,$200,$119.97
16,https://www.nike.com/t/sportswear-synthetic-fill-mens-parka-8M4W5P/CU4416-010,Nike Sportswear Synthetic-Fill,Men's Parka,1 Color,$180,$92.97
17,https://www.nike.com/t/air-force-1-gtx-mens-shoe-MXf3Lm/CT2858-001,Nike Air Force 1 GTX,Men's Shoe,3 Colors,$150,$91.97
18,https://www.nike.com/t/kd13-basketball-shoe-kbKpNV/CI9948-004,KD13,Basketball Shoe,7 Colors,$150,$112.97
19,https://www.nike.com/t/sportswear-windrunner-hooded-windbreaker-qJlX5L/AR2191-010,Nike Sportswear Windrunner,Hooded Windbreaker,1 Color,$100,$59.97
20,https://www.nike.com/t/acg-mens-woven-cargo-pants-1mjNlw/CD7646-325,Nike ACG,Men's Woven Cargo Pants,1 Color,$180,$109.97
21,https://www.nike.com/t/sacai-womens-parka-XwkZxW/CT3267-355,Nike x sacai,Women's Parka,3 Colors,$600,$246.97
22,https://www.nike.com/t/pro-therma-womens-tights-R7p0Jq/CU4595-010,Nike Pro Therma,Women's Tights,2 Colors,$50,$41.97
23,https://www.nike.com/t/air-zoom-pegasus-37-mens-running-shoe-KLvDcj/BQ9646-010,Nike Air Zoom Pegasus 37,Men's Running Shoe,1 Color,$120,$81.97
24,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-602,Nike Air Zoom Pegasus 37,Women's Running Shoe,10 Colors,$120,$98.97
25,https://www.nike.com/t/dbreak-type-se-mens-shoe-5B7WTv/CU1756-402,Nike DBreak-Type SE,Men's Shoe,3 Colors,$100,$62.97
26,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-005,Nike React Vision,Women's Shoe,4 Colors,$140,$103.97
27,https://www.nike.com/t/daybreak-womens-shoe-gB1tHp/DH1038-100,Nike Daybreak,Women's Shoe,7 Colors,$90,$55.97
28,https://www.nike.com/t/sportswear-synthetic-fill-womens-jacket-plus-size-8RqWdh/DA2046-010,Nike Sportswear Synthetic-Fill,Women's Jacket (Plus Size),5 Colors,$130,$68.97
29,https://www.nike.com/t/sportswear-swoosh-womens-hoodie-sVDPJc/CU5676-201,Nike Sportswear Swoosh,Women's Hoodie,8 Colors,$70,$43.97
30,https://www.nike.com/t/sportswear-swoosh-womens-1-2-zip-fleece-top-zgPKJz/CU6637-564,Nike Sportswear Swoosh,Women's 1/2-Zip Fleece Top,6 Colors,$75,$42.97
31,https://www.nike.com/t/air-mens-long-sleeve-t-shirt-vHgh6R/CW0415-430,Nike Air,Men's Long-Sleeve T-Shirt,2 Colors,$35,$29.97
32,https://www.nike.com/t/sportswear-tech-fleece-mens-shorts-8sXggV/CU4503-072,Nike Sportswear Tech Fleece,Men's Shorts,1 Color,$75,$55.97
33,https://www.nike.com/t/sky-force-3-4-mens-shoe-zfNXrf/DC1703-100,Nike Sky Force 3/4,Men's Shoe,1 Color,$85,$57.97
34,https://www.nike.com/t/zoomx-superrep-surge-womens-endurance-class-shoe-33NTNV/CK9406-016,Nike ZoomX SuperRep Surge,Women's Endurance Class Shoe,1 Color,$140,$86.97
35,https://www.nike.com/t/flex-control-3-mens-training-shoe-1lFKLq/AJ5911-002,Nike Flex Control 3,Men's Training Shoe,1 Color,$65,$40.97
36,https://www.nike.com/t/joyride-dual-run-mens-running-shoe-Gvfp81/CD4365-001,Nike Joyride Dual Run,Men's Running Shoe,3 Colors,$130,$64.97
37,https://www.nike.com/t/acg-rope-de-dope-mens-packable-insulated-jacket-h4Wwgq/CV0640-010,"Nike ACG ""Rope de Dope""",Men's Packable Insulated Jacket,2 Colors,$195,$109.97
